Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2026-03-05,JAL,62,NRT,LAX,2,66,B,153,false,,2026-03-05T17:05,2026-03-05T17:11,,,,,2026-03-05T09:45,2026-03-05T09:56,Boeing 787-9,,,,,,,,47be410b-1106-4953-bf1e-347c78a2fd9c,646d4d03-db09-45ee-8330-6af7d6dc61cd,42cbe764-fc30-49b0-9e72-eca5f6c21767,25b8d712-9888-423f-868d-b25f1d184aaf,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-03-05,JAL,7562,LAX,TUS,4,52H,Main,B10,false,,2026-03-05T15:04,2026-03-05T15:23,,,,,2026-03-05T17:36,2026-03-05T17:51,Bombardier CRJ700,,,,,,,,efea518c-be1f-4395-ad71-66720f284556,646d4d03-db09-45ee-8330-6af7d6dc61cd,25b8d712-9888-423f-868d-b25f1d184aaf,7673e4fc-a5d7-4759-9163-17824911518b,,1404a49a-a829-47ff-b37b-6c9273f21c77
2026-03-11,JAL,7563,TUS,LAX,Main,B11,4,52H,false,,2026-03-11T07:27,2026-03-11T07:20,,,,,2026-03-11T09:25,2026-03-11T09:17,Embraer 175,,,,,,,,eb9b0ed6-94fc-4bed-a0c2-6a72481888ac,646d4d03-db09-45ee-8330-6af7d6dc61cd,7673e4fc-a5d7-4759-9163-17824911518b,25b8d712-9888-423f-868d-b25f1d184aaf,,36728d5b-40cd-46ec-93ba-8822376b565d
2026-03-11,JAL,61,LAX,NRT,B,155,2,87,false,,2026-03-11T12:50,2026-03-11T13:21,,,,,2026-03-12T16:40,2026-03-12T16:31,Boeing 787-9,,,,,,,,eb24c4eb-10b7-474b-871d-6c8e223379ed,646d4d03-db09-45ee-8330-6af7d6dc61cd,25b8d712-9888-423f-868d-b25f1d184aaf,42cbe764-fc30-49b0-9e72-eca5f6c21767,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-03-12,JAL,3087,NRT,NGO,T2,D,T1,,false,,2026-03-12T18:30,2026-03-12T18:43,,,,,2026-03-12T19:45,2026-03-12T20:02,Boeing 737-800,,,,,,,,23496d6d-db3c-4b5e-8e33-0ff6bf86c27a,646d4d03-db09-45ee-8330-6af7d6dc61cd,42cbe764-fc30-49b0-9e72-eca5f6c21767,de1f99fa-4f8f-4534-bf03-6f0925260747,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-03-15,JAL,3082,NGO,NRT,T1,11,T2,,false,,2026-03-15T08:15,2026-03-15T08:14,,,,,2026-03-15T09:25,2026-03-15T09:25,Boeing 737-800,,,15A,WINDOW,ECONOMY,BUSINESS,,2b6359b4-c047-4df5-9ae2-76422b8179cb,646d4d03-db09-45ee-8330-6af7d6dc61cd,de1f99fa-4f8f-4534-bf03-6f0925260747,42cbe764-fc30-49b0-9e72-eca5f6c21767,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-03-15,JAL,407,NRT,FRA,T2,62,T2,,false,,2026-03-15T10:45,2026-03-15T10:50,,,,,2026-03-15T17:00,2026-03-15T17:09,Boeing 787-9,,,49A,WINDOW,ECONOMY,BUSINESS,,11023679-4a6d-497a-a117-70932968cd8e,646d4d03-db09-45ee-8330-6af7d6dc61cd,42cbe764-fc30-49b0-9e72-eca5f6c21767,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-03-21,JAL,408,FRA,NRT,T2,D8,T2,65,false,,2026-03-21T20:05,2026-03-21T20:06,,,,,2026-03-22T17:05,2026-03-22T17:20,Boeing 787-9,,,,,,,,0b0659fb-6cbf-469d-81d1-4c73750bd857,646d4d03-db09-45ee-8330-6af7d6dc61cd,9e8dd658-32ff-4277-acb3-8c2b5dc39431,42cbe764-fc30-49b0-9e72-eca5f6c21767,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-03-22,JAL,3087,NRT,NGO,T2,D,T1,,false,,2026-03-22T18:30,2026-03-22T18:39,,,,,2026-03-22T19:45,2026-03-22T19:59,Boeing 737-800,,,,,,,,ac267f08-61c3-4e66-9724-534759a2b9f7,646d4d03-db09-45ee-8330-6af7d6dc61cd,42cbe764-fc30-49b0-9e72-eca5f6c21767,de1f99fa-4f8f-4534-bf03-6f0925260747,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-04-19,ANA,86,NGO,HND,T1,8,T2,,false,,2026-04-19T07:20,2026-04-19T07:21,,,,,2026-04-19T08:25,2026-04-19T08:25,Boeing 737-800,,,,,,,,693b206b-d337-4070-af58-81bececcc890,c1ace35c-3515-410b-ad40-219189967eff,de1f99fa-4f8f-4534-bf03-6f0925260747,deceac13-5547-4a5a-9877-06e35ae80304,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-04-21,ANA,85,HND,NGO,T2,50A,T1,,false,,2026-04-21T19:40,2026-04-21T19:54,,,,,2026-04-21T20:40,2026-04-21T20:57,Boeing 737-800,,,,,,,,3a38401e-fee2-46bb-a338-e0eccdaf4c62,c1ace35c-3515-410b-ad40-219189967eff,deceac13-5547-4a5a-9877-06e35ae80304,de1f99fa-4f8f-4534-bf03-6f0925260747,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-06-09,CES,720,NGO,PVG,1,20,1,,false,,2026-06-09T17:00,2026-06-09T16:44,,,,,2026-06-09T18:35,2026-06-09T18:38,Airbus A321,,,40L,WINDOW,,,,32fbf339-4832-4938-9154-36a6466aee83,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,de1f99fa-4f8f-4534-bf03-6f0925260747,94ecd389-4c82-477f-8502-261c27f5b6fa,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2026-06-10,CES,219,PVG,FRA,T1,23,T3,,false,,2026-06-10T00:15,2026-06-10T00:12,,,,,2026-06-10T06:05,2026-06-10T06:05,Boeing 777-300 ER,,,41L,WINDOW,,,,89513c5a-32bb-4589-9a63-3922ce9f812b,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,78eac566-1ad0-4ded-9979-9510dfde05f2
2026-07-05,CES,220,FRA,PVG,3,J10,1,,false,,2026-07-05T14:30,2026-07-05T14:40,,,,,2026-07-06T07:15,2026-07-06T07:20,Boeing 777-300 ER,,,41A,WINDOW,,,,b0f103c8-0483-424b-9407-5ba82175baed,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,9e8dd658-32ff-4277-acb3-8c2b5dc39431,94ecd389-4c82-477f-8502-261c27f5b6fa,,78eac566-1ad0-4ded-9979-9510dfde05f2
2026-07-06,CES,529,PVG,NGO,T1,31,T1,,false,,2026-07-06T09:10,2026-07-06T09:05,,,,,2026-07-06T12:35,2026-07-06T12:33,Airbus A321neo,,,39A,WINDOW,,,,e6580813-f264-4f4c-ab35-168529f98ab8,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,de1f99fa-4f8f-4534-bf03-6f0925260747,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2026-07-08,VJC,921,NGO,HAN,T1,24,T2,,false,,2026-07-08T09:25,2026-07-08T09:40,,,,,2026-07-08T12:50,2026-07-08T12:27,Airbus A321neo,,C5HUSP,6F,,,,,a0a5bf97-4d91-4498-9eb0-2070984e76eb,1906718d-979c-4d30-8f32-746968e1b455,de1f99fa-4f8f-4534-bf03-6f0925260747,8a81e164-4c8e-4c01-8b04-b2497c51c090,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2026-07-29,VJC,920,HAN,NGO,2,,1,,false,,2026-07-29T01:40,,,,,,2026-07-29T08:00,,Airbus A321,,ZTHVQE,5A,,,,,5b0e8b1c-f3bc-4773-81c7-8d5210781bd1,1906718d-979c-4d30-8f32-746968e1b455,8a81e164-4c8e-4c01-8b04-b2497c51c090,de1f99fa-4f8f-4534-bf03-6f0925260747,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2026-08-03,ANA,371,NGO,NGS,1,,,,false,,2026-08-03T07:20,,,,,,2026-08-03T08:45,,Boeing 737-800,,,,,,,,a94621bb-061a-4a30-bdde-bce8cd90a8ab,c1ace35c-3515-410b-ad40-219189967eff,de1f99fa-4f8f-4534-bf03-6f0925260747,9e48fa62-6f59-4f66-835d-6372814fc827,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-08-06,ANA,374,NGS,NGO,,,1,,false,,2026-08-06T20:05,,,,,,2026-08-06T21:25,,Boeing 737-800,,,,,,,,243e766a-5baa-4133-8404-fe5e27f05b95,c1ace35c-3515-410b-ad40-219189967eff,9e48fa62-6f59-4f66-835d-6372814fc827,de1f99fa-4f8f-4534-bf03-6f0925260747,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-08-11,JAL,209,HND,NGO,1,,1,,false,,2026-08-11T19:55,,,,,,2026-08-11T20:55,,Boeing 737-800,,,,,,,,3871e6cc-4e77-4926-8403-70a80d37a3e3,646d4d03-db09-45ee-8330-6af7d6dc61cd,deceac13-5547-4a5a-9877-06e35ae80304,de1f99fa-4f8f-4534-bf03-6f0925260747,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2026-08-29,JAL,202,NGO,HND,1,,1,,false,,2026-08-29T07:35,,,,,,2026-08-29T08:40,,Boeing 737-800,,,,,,,,e7e8973e-2c90-4c0d-804c-71eb329d3c76,646d4d03-db09-45ee-8330-6af7d6dc61cd,de1f99fa-4f8f-4534-bf03-6f0925260747,deceac13-5547-4a5a-9877-06e35ae80304,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2026-08-29,ITY,793,HND,FCO,3,,3,,false,,2026-08-29T12:40,,,,,,2026-08-29T20:25,,Airbus A350-900,,,,,,,,472ed82f-0d56-46ed-958e-cde2573bb9dd,405db5cd-864f-45f1-872a-8e9842349efa,deceac13-5547-4a5a-9877-06e35ae80304,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2026-08-30,ITY,1627,FCO,BDS,1,,,,false,,2026-08-30T15:00,,,,,,2026-08-30T16:10,,Airbus A320neo,,,,,,,,142dcb0a-201f-4158-a8fc-59431278d5e0,405db5cd-864f-45f1-872a-8e9842349efa,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,04f624c3-59a6-4bab-a92f-62dfcfea4654,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2026-09-04,ITY,1624,BDS,FCO,,,1,,false,,2026-09-04T11:15,,,,,,2026-09-04T12:25,,Airbus A320neo,,,,,,,,0d3c945d-d23d-4892-86ff-088b23c62162,405db5cd-864f-45f1-872a-8e9842349efa,04f624c3-59a6-4bab-a92f-62dfcfea4654,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2026-09-04,ITY,792,FCO,HND,1,,3,,false,,2026-09-04T14:55,,,,,,2026-09-05T10:25,,Airbus A350-900,,,,,,,,ca6ab679-2a6b-4802-988b-c5d8dbac252e,405db5cd-864f-45f1-872a-8e9842349efa,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,deceac13-5547-4a5a-9877-06e35ae80304,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2026-09-07,CES,720,NGO,PVG,1,,1,,false,,2026-09-07T17:00,,,,,,2026-09-07T18:35,,Airbus A321,,,37L,WINDOW,,,,cb3f933e-1e87-4bdd-996c-69e2246dca48,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,de1f99fa-4f8f-4534-bf03-6f0925260747,94ecd389-4c82-477f-8502-261c27f5b6fa,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2026-09-08,CES,219,PVG,FRA,1,,3,,false,,2026-09-08T00:25,,,,,,2026-09-08T06:05,,Boeing 777-300 ER,,,41A,WINDOW,,,,93e6a79a-7c61-4b14-bc09-cb52d155ec2f,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,78eac566-1ad0-4ded-9979-9510dfde05f2
2026-10-02,CES,220,FRA,PVG,3,,1,,false,,2026-10-02T14:30,,,,,,2026-10-03T07:15,,Boeing 777-300 ER,,,42A,WINDOW,,,,05141a9d-3ad7-47c7-979b-d815c61b2c80,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,9e8dd658-32ff-4277-acb3-8c2b5dc39431,94ecd389-4c82-477f-8502-261c27f5b6fa,,78eac566-1ad0-4ded-9979-9510dfde05f2
2026-10-03,CES,529,PVG,NGO,1,,1,,false,,2026-10-03T09:10,,,,,,2026-10-03T12:35,,Airbus A330-200,,,37A,WINDOW,,,,8e2c7d46-085a-415b-8388-6887cce2421b,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,de1f99fa-4f8f-4534-bf03-6f0925260747,,b592e11d-fad7-492c-9c29-998f09eed93e
2024-06-05,VJC,921,NGO,HAN,1,21,2,,false,,2024-06-05T09:25,2024-06-05T09:45,2024-06-05T09:35,2024-06-05T10:03,2024-06-05T12:40,2024-06-05T12:47,2024-06-05T12:50,2024-06-05T12:55,Airbus A321neo,VNA530,,,,,,,,1906718d-979c-4d30-8f32-746968e1b455,de1f99fa-4f8f-4534-bf03-6f0925260747,8a81e164-4c8e-4c01-8b04-b2497c51c090,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
